city_name,city_latitude,city_longitude
Carroll Island, 39.337550, -90.825130
Carroll Island (historical), 39.335600, -90.066780
Carrollton, 39.302270, -90.407060
Carterville, 37.760050, -89.077300
Carthage, 40.416430, -91.136250
Carthage, 41.918920, -89.313710
Carthage Lake, 40.790600, -91.075420
Cartter, 38.541160, -88.912280
Carville, 41.845870, -87.617270
Cary, 42.211970, -88.238140
Cascade, 39.670330, -89.492040
Casey, 39.299200, -87.992530
Caseyville, 38.636720, -90.025660
Cash Island, 39.420320, -90.971520
Casner, 39.800310, -88.791180
Caspars, 38.300050, -89.661760
Castle Fin, 39.470040, -87.733360
Castle Junction, 41.392530, -90.577910
Castleton, 41.117810, -89.706210
Catharine, 41.523090, -88.719240
Catlin, 40.065040, -87.701970
Caton Farm, 41.565310, -88.239230
Cave-in-Rock, 37.469220, -88.165310
Cayuga, 40.941140, -88.583670
Cazenovia, 40.850310, -89.332030
Cecka Mobile Home Park, 42.186390, -89.153610
Cedar Acres, 41.597500, -87.979440
Cedar Bluff Estates, 40.836150, -89.613990
Cedar Brook, 41.557530, -90.374020
Cedar Creek, 42.195580, -88.063410
Cedar Glen, 41.695090, -88.344100
Cedar Glen, 41.603060, -87.982780
Cedar Hills, 37.604500, -88.943130
Cedar Island, 42.422800, -88.086750
Cedar Lawn, 41.965870, -87.657280
Cedar Park, 38.755600, -90.104000
Cedar Point, 41.263090, -89.125640
Cedarbrook Court, 42.116940, -87.840000
Cedarville, 42.375850, -89.633170
Center Hill, 42.080860, -90.046240
Centerville, 38.930330, -90.571790
Centerville, 41.064480, -90.054280
Centerville, 39.100880, -89.978160
Centerville, 39.558380, -90.029280
